listing_id,date
97945,2011-12-20
97945,2012-03-02
97945,2012-05-26
97945,2012-05-29
97945,2012-06-24
97945,2012-07-29
97945,2012-08-01
97945,2012-08-03
97945,2012-09-11
97945,2012-09-20
97945,2012-10-06
97945,2013-03-01
97945,2013-03-19
97945,2013-03-27
97945,2013-04-29
97945,2013-05-20
97945,2013-05-31
97945,2013-06-17
97945,2013-06-20
97945,2013-07-16
97945,2013-09-06
97945,2013-09-24
97945,2014-04-02
97945,2014-06-07
97945,2014-07-20
97945,2014-08-27
97945,2014-09-21
97945,2014-09-23
97945,2014-09-26
97945,2014-10-03
97945,2014-10-06
97945,2014-10-12
97945,2014-10-14
97945,2014-10-26
97945,2014-11-09
97945,2014-12-07
97945,2014-12-11
97945,2014-12-14
97945,2014-12-23
97945,2015-01-01
97945,2015-02-07
97945,2015-03-13
97945,2015-03-21
97945,2015-04-12
97945,2015-04-15
97945,2015-04-20
97945,2015-04-28
97945,2015-05-07
97945,2015-05-13
97945,2015-05-29
97945,2015-06-14
97945,2015-06-29
97945,2015-07-03
97945,2015-07-07
97945,2015-09-09
97945,2015-09-21
97945,2015-09-22
97945,2015-09-25
97945,2015-09-28
97945,2015-10-02
97945,2015-10-05
97945,2015-10-13
97945,2015-10-31
97945,2015-11-08
97945,2015-12-08
97945,2015-12-28
97945,2016-04-21
97945,2016-05-16
97945,2016-06-06
97945,2016-07-23
97945,2016-08-21
97945,2016-09-17
97945,2016-10-06
97945,2016-10-15
97945,2017-09-07
97945,2017-09-11
97945,2017-09-13
97945,2017-09-16
97945,2017-09-18
97945,2017-09-23
97945,2017-09-26
97945,2017-09-28
97945,2017-10-01
97945,2017-10-03
97945,2017-10-05
97945,2017-10-08
97945,2017-10-19
97945,2017-10-26
97945,2017-12-18
97945,2017-12-22
97945,2017-12-25
97945,2018-03-02
97945,2018-03-04
97945,2018-03-07
97945,2018-03-09
97945,2018-03-09
97945,2018-05-15
97945,2018-05-17
97945,2018-07-11
97945,2018-07-28
97945,2018-08-07
97945,2018-09-14
97945,2018-09-22
97945,2018-09-25
97945,2018-10-02
97945,2018-10-07
97945,2018-10-10
97945,2018-10-20
97945,2018-10-23
97945,2018-10-30
97945,2018-11-04
97945,2018-11-08
97945,2018-11-17
97945,2018-12-09
97945,2018-12-12
97945,2019-01-15
97945,2019-03-07
97945,2019-03-24
97945,2019-03-30
97945,2019-04-11
97945,2019-05-17
97945,2019-06-02
97945,2019-06-06
97945,2019-06-29
97945,2019-07-10
97945,2019-07-18
97945,2019-07-23
97945,2019-09-26
97945,2019-09-30
97945,2019-10-03
170154,2011-09-25
170154,2011-09-27
170154,2011-11-03
170154,2012-05-09
170154,2012-05-13
170154,2012-05-20
170154,2012-05-24
170154,2012-06-11
170154,2012-06-15
170154,2012-06-18
170154,2012-06-25
170154,2012-07-06
170154,2012-07-16
170154,2012-07-19
170154,2012-07-25
170154,2012-07-27
170154,2012-08-09
170154,2012-08-31
170154,2012-09-04
170154,2012-09-30
170154,2012-10-01
170154,2012-10-06
170154,2012-10-09
170154,2012-10-19
170154,2012-10-21
170154,2012-10-25
170154,2012-11-17
170154,2013-02-06
170154,2013-03-25
170154,2013-04-20
170154,2013-04-22
170154,2013-05-12
170154,2013-05-13
170154,2013-05-17
170154,2013-05-27
170154,2013-06-03
170154,2013-06-17
170154,2013-06-21
170154,2013-06-24
170154,2013-07-01
170154,2013-07-02
170154,2013-07-11
170154,2013-07-15
170154,2013-07-22
170154,2013-07-24
170154,2013-07-28
170154,2013-07-31
170154,2013-08-04
170154,2013-08-09
